網站名稱,網站鏈接
航港局-航港局助海大IGF CODE課程通過國際認證成功開設 加速國籍航商綠色轉型,https://www.motcmpb.gov.tw/Information/Detail/b08c2151-8772-41bb-b373-3ad51bb3a322?SiteId=1&NodeId=15
航港局-航港局助海大IGF Code進階訓練課程獲比利時認可 協助國籍航商加速綠色轉型！,https://www.motcmpb.gov.tw/Information/Detail/29160b24-4912-4832-8156-041dd1129c79?SiteId=1&NodeId=15
航港局-航港局核備高科大IGF Code基本訓練課程 南北齊開班，加速國籍航商綠色轉型！,https://www.motcmpb.gov.tw/Information/Detail/c186fc25-3a14-4607-99fd-0d353133adbc?SiteId=1&NodeId=15
航港局-航港局助高科大IGF Code進階訓練課程獲比利時認可 協助國籍航商加速綠色轉型！,https://www.motcmpb.gov.tw/Information/Detail/d931ce10-5eed-4170-8706-5aa9b1409a4b?SiteId=1&NodeId=15
國立臺灣海洋大學-海大IGF Code進階訓練課程獲國際認可 將儘速開班授課,https://mprp.ntou.edu.tw/p/404-1017-110553.php?Lang=zh-tw
航港局船員智慧服務平台,https://el-sol.mtnet.gov.tw/Portal/Home?menuid=auto
國立臺灣海洋大學/海事發展與訓練中心-特殊船舶專業訓練,https://md-tc.ntou.edu.tw/p/412-1083-12232.php?Lang=zh-tw
高科大船員訓練課程資訊,https://mkapply.nkust.edu.tw/MtcApply/Apply/Curriculum
長榮船員訓練中心,https://www.evergreen-marine.com/emc/trainingcenter/jsp/EMC_TrainingCenter.jsp?lang=zh-tw
shipandbunker,https://shipandbunker.com/prices
Argus Media,https://www.argusmedia.com/en
ALJ Group,https://alj-group.com/
Cleaner Energy Future Initiatives for ASEAN,https://www.cefia-dp.go.jp/
Eurogas,https://www.eurogas.org/events/upcoming-events/?_sft_event_category=eurogas-event
Euro Petroleum Consultants,https://europetro.com/
FORTES Media Group,https://fortesmedia.com/
IEA,https://www.iea.org/events
Leader Associates,https://www.leader-associates.com/
台灣氫能與燃料電池學會,https://www.thefc.org.tw/site/page.aspx?pid=901&sid=1406&lang=cht
Maritime Training Academy (MTA),https://maritimetrainingacademy.com/
GTT Training Ltd,https://www.gtt-training.co.uk/
Stream Marine Training (SMT),https://streammarinetraining.com/
The Nautical Institute (NI),https://www.nautinst.org/
Lloyd's Register (LR),https://www.lr.org/en/
Informa Connect Academy,https://informaconnect.com/academy/
World Hydrogen Leaders,https://www.worldhydrogenleaders.com/
船員智慧服務平臺計畫(Seafarers Online),https://el-sol.mtnet.gov.tw/Portal/Home
台灣氫能與燃料電池學會,https://www.thefc.org.tw/site/page.aspx?pid=901&sid=1406&lang=cht
